fight_id,datetime,label,is_draw,red_id,red_kd,red_ss,red_ss_attempted,red_total,red_total_attempted,red_td,red_td_attempted,red_sub_attempted,red_control_min,red_control_sec,red_ss_head,red_ss_head_attempted,red_ss_body,red_ss_body_attempted,red_ss_leg,red_ss_leg_attempted,red_ss_distance,red_ss_distance_attempted,red_ss_clinch,red_ss_clinch_attempted,red_ss_ground,red_ss_ground_attempted,blue_id,blue_kd,blue_ss,blue_ss_attempted,blue_total,blue_total_attempted,blue_td,blue_td_attempted,blue_sub_attempted,blue_control_min,blue_control_sec,blue_ss_head,blue_ss_head_attempted,blue_ss_body,blue_ss_body_attempted,blue_ss_leg,blue_ss_leg_attempted,blue_ss_distance,blue_ss_distance_attempted,blue_ss_clinch,blue_ss_clinch_attempted,blue_ss_ground,blue_ss_ground_attempted
678db400f85ae15c,1443848400,1,0,7dcf06c1967801c1,1,3,7,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0,1.0,1,2,6,0.0,0.0,1.0,1.0,275aca31f61ba28c,0.0,4.0,15.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,2.0,2.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0
24e14c4824144c64,1262412000,1,0,d81ac739417d7f53,1,15,39,30.0,56.0,2.0,2.0,0.0,4.0,38.0,13.0,37.0,2.0,2,0.0,0,2,8,3.0,5.0,10.0,26.0,f5990c11974d8e9c,0.0,5.0,8.0,29.0,34.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0
562d3261ca7bdf01,1412398800,1,0,8b5f9ea38184ded3,0,70,156,97.0,183.0,0.0,4.0,0.0,6.0,47.0,41.0,126.0,15.0,16,14.0,14,53,135,17.0,21.0,0.0,0.0,d06f8869449ba7bd,0.0,44.0,107.0,44.0,107.0,0.0,9.0,0.0,0.0,6.0,24.0,83.0,11.0,15.0,9.0,9.0,43.0,106.0,1.0,1.0,0.0,0.0
326b843cb2b7fd94,1581141600,1,0,5f6f049d54728e88,0,80,177,85.0,184.0,0.0,0.0,0.0,0.0,2.0,32.0,123.0,43.0,49,5.0,5,78,172,2.0,5.0,0.0,0.0,f2477cf43c4975cc,0.0,66.0,142.0,74.0,151.0,0.0,3.0,0.0,1.0,30.0,30.0,88.0,15.0,27.0,21.0,27.0,65.0,141.0,1.0,1.0,0.0,0.0
05b7bfd4fe75af69,1177131600,1,0,2b93ebd9f5417ad2,0,36,77,91.0,144.0,1.0,1.0,0.0,4.0,46.0,30.0,70.0,6.0,7,0.0,0,7,15,0.0,0.0,29.0,62.0,817e0bdf08efce2e,1.0,8.0,20.0,20.0,34.0,0.0,0.0,2.0,0.0,59.0,2.0,12.0,2.0,2.0,4.0,6.0,4.0,14.0,3.0,3.0,1.0,3.0
8a044e5400b4318f,1663390800,1,0,37f560436d745c18,1,24,45,24.0,45.0,0.0,0.0,0.0,0.0,5.0,22.0,41.0,1.0,3,1.0,1,15,35,0.0,0.0,9.0,10.0,87e2468b986ebb79,0.0,15.0,40.0,15.0,40.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,4.0,10.0,4.0,4.0,15.0,40.0,0.0,0.0,0.0,0.0
44ad16cd4e6c93d7,1367038800,0,0,917e53fa0adea0d3,0,15,77,30.0,92.0,0.0,0.0,0.0,0.0,20.0,10.0,70.0,4.0,4,1.0,3,11,73,2.0,2.0,2.0,2.0,7be63795363029e8,0.0,30.0,54.0,84.0,111.0,5.0,13.0,4.0,9.0,11.0,27.0,48.0,2.0,5.0,1.0,1.0,16.0,38.0,4.0,6.0,10.0,10.0
693e4a0bed9a1369,932101200,1,0,ce783bf73b5131f9,1,21,46,27.0,52.0,0.0,0.0,1.0,0.0,20.0,15.0,40.0,6.0,6,0.0,0,11,34,5.0,7.0,5.0,5.0,669a3cb6e394f515,0.0,11.0,26.0,12.0,27.0,2.0,8.0,0.0,2.0,34.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,8.0,15.0
eeb8b25df8543e0f,1270011600,1,0,b45d6b73f4ca4467,0,61,198,74.0,211.0,0.0,0.0,0.0,0.0,42.0,32.0,152.0,13.0,29,16.0,17,47,184,13.0,13.0,1.0,1.0,15b1b21cd743d652,0.0,52.0,146.0,64.0,159.0,0.0,6.0,0.0,1.0,37.0,28.0,110.0,5.0,10.0,19.0,26.0,45.0,133.0,7.0,13.0,0.0,0.0
0716a38768a34789,1622869200,0,0,04c8b08b16a5b99e,0,45,105,84.0,153.0,0.0,0.0,0.0,0.0,42.0,32.0,84.0,11.0,19,2.0,2,28,79,4.0,9.0,13.0,17.0,e9a3aeb207578eea,0.0,10.0,38.0,51.0,98.0,2.0,3.0,0.0,6.0,38.0,8.0,33.0,2.0,4.0,0.0,1.0,10.0,38.0,0.0,0.0,0.0,0.0
